Round,Disappointment_cost,Demand,Actual_inventory,Inventory_inaccuracy,Shown_inventory,Attention_check
1,0.2,2,4,3,7,FALSE
2,0.2,6,5,3,8,FALSE
3,0.2,4,4,1,5,FALSE
4,0.2,5,4,4,8,FALSE
5,0.2,1,4,1,5,FALSE
6,0.2,7,6,2,8,FALSE
7,0.2,2,1,3,4,FALSE
8,0.2,7,10,0,10,FALSE
9,0.2,5,3,0,3,TRUE
10,0.2,1,3,4,7,FALSE
11,0.2,5,3,2,5,FALSE
12,0.2,4,7,0,7,FALSE
13,0.2,2,1,2,3,FALSE
14,0.2,6,6,0,6,FALSE
15,0.2,2,1,0,1,TRUE
16,0.2,1,0,4,4,FALSE
17,0.2,3,5,2,7,FALSE
18,0.2,5,4,2,6,FALSE
19,0.2,3,4,4,8,FALSE
20,0.2,6,3,0,3,TRUE
21,0.2,9,6,3,9,FALSE
22,0.2,4,5,1,6,FALSE
23,0.2,7,6,1,7,FALSE
24,0.2,3,8,0,8,FALSE
25,0.2,6,5,4,9,FALSE
26,0.2,8,7,3,10,FALSE
27,0.2,3,8,1,9,FALSE
